[2025-05-12 14:37:12,134][__main__][INFO] - Starting training...
[2025-05-12 14:37:12,134][__main__][INFO] - Original Hydra directory: /fs/cml-scratch/amishab/equibot
[2025-05-12 14:37:12,134][__main__][INFO] - Target output directory: /fs/nexus-projects/Sketch_VLM_RL/equibit
[2025-05-12 14:37:12,134][__main__][INFO] - Changed working directory to: /fs/nexus-projects/Sketch_VLM_RL/equibit
[2025-05-12 14:37:12,135][__main__][WARNING] - Hydra config directory not found at /fs/cml-scratch/amishab/equibot/.hydra
[2025-05-12 14:37:14,913][__main__][INFO] - Successfully initialized wandb
[2025-05-12 14:37:35,169][__main__][INFO] - Initialized dataloader with 1787 samples
[2025-05-12 15:01:11,041][__main__][INFO] - Starting training...
[2025-05-12 15:01:11,042][__main__][INFO] - Original Hydra directory: /fs/cml-scratch/amishab/equibot
[2025-05-12 15:01:11,042][__main__][INFO] - Target output directory: /fs/nexus-projects/Sketch_VLM_RL/equibit
[2025-05-12 15:01:11,042][__main__][INFO] - Changed working directory to: /fs/nexus-projects/Sketch_VLM_RL/equibit
[2025-05-12 15:01:11,042][__main__][WARNING] - Hydra config directory not found at /fs/cml-scratch/amishab/equibot/.hydra
[2025-05-12 15:01:13,955][__main__][INFO] - Successfully initialized wandb
[2025-05-12 15:01:27,546][__main__][INFO] - Initialized dataloader with 1787 samples
[2025-05-12 15:02:06,315][__main__][INFO] - Initialized evaluation environment
[2025-05-12 15:02:19,338][__main__][INFO] - Starting training from scratch
[2025-05-12 15:02:29,342][__main__][INFO] - Epoch 0, Batch 0, Metrics: {'loss': tensor(1.1317, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 15.214212, 'mean_pred_noise_norm': 4.876837}
[2025-05-12 15:02:29,479][__main__][INFO] - Epoch 0, Batch 1, Metrics: {'loss': tensor(1.0803, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.9128065, 'mean_pred_noise_norm': 4.844075}
[2025-05-12 15:02:29,608][__main__][INFO] - Epoch 0, Batch 2, Metrics: {'loss': tensor(1.1642, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 15.369797, 'mean_pred_noise_norm': 4.8924637}
[2025-05-12 15:02:29,736][__main__][INFO] - Epoch 0, Batch 3, Metrics: {'loss': tensor(1.1369, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 15.168753, 'mean_pred_noise_norm': 4.9237385}
[2025-05-12 15:02:29,865][__main__][INFO] - Epoch 0, Batch 4, Metrics: {'loss': tensor(1.0888, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.761625, 'mean_pred_noise_norm': 4.857686}
[2025-05-12 15:02:29,993][__main__][INFO] - Epoch 0, Batch 5, Metrics: {'loss': tensor(1.0832, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.916601, 'mean_pred_noise_norm': 4.8758717}
[2025-05-12 15:02:30,121][__main__][INFO] - Epoch 0, Batch 6, Metrics: {'loss': tensor(1.0906, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.890402, 'mean_pred_noise_norm': 4.879612}
[2025-05-12 15:02:30,249][__main__][INFO] - Epoch 0, Batch 7, Metrics: {'loss': tensor(1.0930, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.922702, 'mean_pred_noise_norm': 4.7445297}
[2025-05-12 15:02:30,377][__main__][INFO] - Epoch 0, Batch 8, Metrics: {'loss': tensor(1.1017, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.977898, 'mean_pred_noise_norm': 4.6834736}
[2025-05-12 15:02:30,506][__main__][INFO] - Epoch 0, Batch 9, Metrics: {'loss': tensor(1.1123, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 15.067019, 'mean_pred_noise_norm': 4.6078415}
[2025-05-12 15:02:30,628][__main__][INFO] - Epoch 0, Batch 10, Metrics: {'loss': tensor(1.1057, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 15.0418415, 'mean_pred_noise_norm': 4.622865}
[2025-05-12 15:02:30,756][__main__][INFO] - Epoch 0, Batch 11, Metrics: {'loss': tensor(1.0990, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 15.087318, 'mean_pred_noise_norm': 4.5173464}
[2025-05-12 15:02:30,874][__main__][INFO] - Epoch 0, Batch 12, Metrics: {'loss': tensor(1.0573, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.759356, 'mean_pred_noise_norm': 4.5791683}
[2025-05-12 15:02:30,997][__main__][INFO] - Epoch 0, Batch 13, Metrics: {'loss': tensor(1.0880, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.993498, 'mean_pred_noise_norm': 4.572341}
[2025-05-12 15:02:31,126][__main__][INFO] - Epoch 0, Batch 14, Metrics: {'loss': tensor(1.0473, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.740063, 'mean_pred_noise_norm': 4.500483}
[2025-05-12 15:02:31,254][__main__][INFO] - Epoch 0, Batch 15, Metrics: {'loss': tensor(1.0928, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 15.006277, 'mean_pred_noise_norm': 4.4276247}
[2025-05-12 15:02:31,377][__main__][INFO] - Epoch 0, Batch 16, Metrics: {'loss': tensor(1.0591, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.850566, 'mean_pred_noise_norm': 4.3616567}
[2025-05-12 15:02:31,506][__main__][INFO] - Epoch 0, Batch 17, Metrics: {'loss': tensor(1.0742, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.990612, 'mean_pred_noise_norm': 4.16601}
[2025-05-12 15:02:31,635][__main__][INFO] - Epoch 0, Batch 18, Metrics: {'loss': tensor(1.0776, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 15.030452, 'mean_pred_noise_norm': 4.1782713}
[2025-05-12 15:02:31,759][__main__][INFO] - Epoch 0, Batch 19, Metrics: {'loss': tensor(1.0507, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.802999, 'mean_pred_noise_norm': 4.0816145}
[2025-05-12 15:02:31,887][__main__][INFO] - Epoch 0, Batch 20, Metrics: {'loss': tensor(1.0471, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.848382, 'mean_pred_noise_norm': 4.0916114}
[2025-05-12 15:02:32,010][__main__][INFO] - Epoch 0, Batch 21, Metrics: {'loss': tensor(1.0212, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.647725, 'mean_pred_noise_norm': 3.9979694}
[2025-05-12 15:02:32,140][__main__][INFO] - Epoch 0, Batch 22, Metrics: {'loss': tensor(1.0835, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 15.106768, 'mean_pred_noise_norm': 3.914485}
[2025-05-12 15:02:32,268][__main__][INFO] - Epoch 0, Batch 23, Metrics: {'loss': tensor(1.0510, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.950246, 'mean_pred_noise_norm': 3.837563}
[2025-05-12 15:02:32,396][__main__][INFO] - Epoch 0, Batch 24, Metrics: {'loss': tensor(1.0418, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.856333, 'mean_pred_noise_norm': 3.715362}
[2025-05-12 15:02:32,524][__main__][INFO] - Epoch 0, Batch 25, Metrics: {'loss': tensor(1.0716, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 15.042023, 'mean_pred_noise_norm': 3.7338994}
[2025-05-12 15:02:32,648][__main__][INFO] - Epoch 0, Batch 26, Metrics: {'loss': tensor(1.0458, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.984619, 'mean_pred_noise_norm': 3.6914568}
[2025-05-12 15:02:32,776][__main__][INFO] - Epoch 0, Batch 27, Metrics: {'loss': tensor(1.0474, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.996134, 'mean_pred_noise_norm': 3.5230482}
[2025-05-12 15:02:32,904][__main__][INFO] - Epoch 0, Batch 28, Metrics: {'loss': tensor(1.0275, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.851316, 'mean_pred_noise_norm': 3.488739}
[2025-05-12 15:02:33,032][__main__][INFO] - Epoch 0, Batch 29, Metrics: {'loss': tensor(1.0460, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 15.019269, 'mean_pred_noise_norm': 3.4051352}
[2025-05-12 15:02:33,160][__main__][INFO] - Epoch 0, Batch 30, Metrics: {'loss': tensor(1.0594, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 15.005659, 'mean_pred_noise_norm': 3.595728}
[2025-05-12 15:02:33,288][__main__][INFO] - Epoch 0, Batch 31, Metrics: {'loss': tensor(1.0262, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.870843, 'mean_pred_noise_norm': 3.4810114}
[2025-05-12 15:02:33,416][__main__][INFO] - Epoch 0, Batch 32, Metrics: {'loss': tensor(1.0297, device='cuda:0', grad_fn=<MseLossBackward0>), 'mean_gt_noise_norm': 14.834887, 'mean_pred_noise_norm': 3.3819652}
